molecule,cation,anion,anion_1_charge,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_ionic,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_charge,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_ionic,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_formula,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,pitzer_Beta0,pitzer_Beta1
Ca(NO3)2(aq),Ca^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,1.14,2.31,0.284,3.0,164.08780000000002,9.0,3.0,2.31,0.1683,1.65
CaBr2(aq),Ca^+2,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,2.0,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,1.14,2.31,0.284,2.0,199.886,3.0,2.0,2.31,0.3409,1.928
CaCl2(aq),Ca^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,1.14,2.31,0.284,2.0,110.98400000000001,3.0,2.0,2.31,0.31,1.618
CaI2(aq),Ca^+2,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,2.0,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,1.14,2.31,0.284,2.0,293.88694,3.0,2.0,2.31,0.4301,1.878
Cd(ClO4)2(aq),Cd^+2,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,2.0,0.0,-1843.0,7.19e-06,112.411,1.0,1.0,4.26,1.09,2.18,0.321,4.0,311.3122,11.0,3.0,2.18,0.3796,2.113
Cd(NO2)2(aq),Cd^+2,NO2^-1,-1.0,0.0,-340.0,1.912e-05,46.0055,3.0,2.0,3.35,1.67,1.55,-0.005,2.0,0.0,-1843.0,7.19e-06,112.411,1.0,1.0,4.26,1.09,2.18,0.321,2.0,204.422,7.0,3.0,2.18,-0.02389,-1.511
Cd(NO3)2(aq),Cd^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1843.0,7.19e-06,112.411,1.0,1.0,4.26,1.09,2.18,0.321,3.0,236.42079999999999,9.0,3.0,2.18,0.2833,1.665
CdSO4(aq),Cd^+2,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,2.0,0.0,-1843.0,7.19e-06,112.411,1.0,1.0,4.26,1.09,2.18,0.321,4.0,208.4736,6.0,3.0,2.18,0.2072,2.564
CeCl3(aq),Ce^+3,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,3.0,0.0,-3332.0,6.2e-06,140.116,1.0,1.0,4.52,1.15,2.42,0.57,3.0,246.47500000000002,4.0,2.0,2.42,0.6005,4.91
Co(NO3)2(aq),Co^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,0.885,2.0,0.372,3.0,182.942995,9.0,3.0,2.0,0.3103,1.673
CoBr2(aq),Co^+2,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,2.0,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,0.885,2.0,0.372,2.0,218.741195,3.0,2.0,2.0,0.4667,1.424
CoCl2(aq),Co^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,0.885,2.0,0.372,2.0,129.83919500000002,3.0,2.0,2.0,0.3765,1.416
CoI2(aq),Co^+2,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,2.0,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,0.885,2.0,0.372,2.0,312.742135,3.0,2.0,2.0,0.5162,1.737
Cr(NO3)3(aq),Cr^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1938.0,1.334e-05,51.9961,1.0,1.0,3.58,0.94,2.06,0.085,3.0,238.0108,13.0,3.0,2.06,0.7161,4.631
CrCl3(aq),Cr^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1938.0,1.334e-05,51.9961,1.0,1.0,3.58,0.94,2.06,0.085,3.0,158.3551,4.0,2.0,2.06,0.7592,4.752
Cs2SO4(aq),Cs^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,2.0,361.8735038,7.0,3.0,3.43,0.1009,0.9094
Cs2SO4(aq),Cs^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,2.0,361.8735038,7.0,3.0,3.43,0.1009,0.9094
CsBr(aq),Cs^+1,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,212.8094519,2.0,2.0,3.43,0.02187,0.07237
CsCl(aq),Cs^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,168.3584519,2.0,2.0,3.43,0.03745,0.02709
CsCl(aq),Cs^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,168.3584519,2.0,2.0,3.43,0.03745,0.02709
CsF(aq),Cs^+1,F^-1,-1.0,0.0,-425.0,1.475e-05,18.9984032,1.0,1.0,3.52,1.19,1.47,0.107,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,151.9038551,2.0,2.0,3.43,0.1237,0.324
CsH3(CO)2(aq),Cs^+1,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,191.9494719,8.0,4.0,3.43,0.1674,0.3399
CsH3(CO)2(aq),Cs^+1,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,191.9494719,8.0,4.0,3.43,0.1674,0.3399
CsI(aq),Cs^+1,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,259.8099219,2.0,2.0,3.43,0.02164,0.04627
CsNO2(aq),Cs^+1,NO2^-1,-1.0,0.0,-340.0,1.912e-05,46.0055,3.0,2.0,3.35,1.67,1.55,-0.005,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,2.0,178.9109519,4.0,3.0,3.43,0.03058,0.1855
CsNO3(aq),Cs^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,194.9103519,5.0,3.0,3.43,-0.1024,0.01885
CsOH(aq),Cs^+1,OH^-1,-1.0,0.0,-428.0,5.273e-05,17.00734,2.0,2.0,3.0,1.67,1.52,0.122,1.0,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,1.81,3.43,-0.047,3.0,149.9127919,3.0,3.0,3.43,0.1277,0.4146
Cu(NO3)2(aq),Cu^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,0.91,1.96,0.085,3.0,187.55579999999998,9.0,3.0,1.96,0.281,1.683
CuCl2(aq),Cu^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,0.91,1.96,0.085,2.0,134.452,3.0,2.0,1.96,0.277,1.496
CuSO4(aq),Cu^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,0.91,1.96,0.085,4.0,159.6086,6.0,3.0,1.96,0.2281,2.505
