electrolyte,electrolyte_type,B_MX_0_simplified,B_MX_1_simplified,std_dev_simplified,ref_simplified,max_molality_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type
SrI2,2-1,0.4043,1.9170,0.004,26,2.00,0.4013,1.8600,0.00,0.0027,0.001,9,2.00,1.13,2.2,k,c
Zn(ClO4)2,2-1,0.5444,1.6016,0.031,25,3.25,0.5060,1.7970,0.00,0.0113,0.003,9,2.00,0.75,2.25,k,c
Zn(NO3)2,2-1,0.2990,1.9419,0.018,25,3.00,0.3481,1.6913,0.00,-0.0157,0.001,9,2.00,0.75,1.79,k,c
ZnBr2,2-1,0.3378,2.0164,0.008,25,0.80,0.4660,1.6343,0.00,-0.1079,0.007,9,1.60,0.75,1.96,k,c
ZnCl2,2-1,0.0959,2.2348,0.031,25,13.00,0.2602,1.6425,0.00,-0.0880,0.006,9,1.20,0.75,1.81,k,c
ZnI2,2-1,0.4536,2.1785,0.013,25,1.00,0.4821,1.9455,0.00,-0.0143,0.002,9,0.80,0.75,2.2,k,c
CdSO4,2-2,0.2358,2.3479,0.010,13,3.50,0.2053,2.6170,-48.07,0.0114,0.002,8,3.50,0.95,2.4,k,c
CuSO4,2-2,0.2347,2.4875,0.004,17,1.40,0.2358,2.4850,-47.35,-0.0012,0.003,8,1.40,0.73,2.4,k,c
MgSO4,2-2,0.2842,2.8749,0.009,17,2.50,0.2210,3.3430,-37.23,0.0250,0.004,8,3.00,0.72,2.4,k,c
MnSO4,2-2,0.2414,2.6899,0.011,17,2.50,0.2010,2.9800,0.00,0.0182,0.003,8,4.00,0.83,2.4,k,c
NiSO4,2-2,0.2268,2.6082,0.008,17,1.60,0.1702,2.9070,-40.06,0.0366,0.005,8,2.50,0.69,2.4,k,c
ZnSO4,2-2,0.2565,2.4986,0.005,17,2.00,0.1949,2.8830,-32.81,0.0290,0.004,8,3.50,0.75,2.4,k,c
AlCl3,3-1,0.7047,5.7690,0.010,13,1.80,0.6993,5.8447,0.00,0.0027,0.005,9,1.60,0.53,1.81,k,c
CeCl3,3-1,0.5562,5.5669,0.043,13,1.80,0.6125,5.4847,0.00,-0.0311,0.010,9,1.80,1.01,1.81,k,c
