m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
0.400,0.5746,1.0064,0.978478,0.5197,1.731,0,0.008201
0.500,0.6007,1.0542,0.971914,0.5197,1.731,0,0.008201
0.600,0.6472,1.1045,0.964818,0.5197,1.731,0,0.008201
0.700,0.6958,1.1570,0.957173,0.5197,1.731,0,0.008201
0.800,0.7531,1.2115,0.948955,0.5197,1.731,0,0.008201
0.900,0.8196,1.2680,0.940185,0.5197,1.731,0,0.008201
1.000,0.8964,1.3264,0.930823,0.5197,1.731,0,0.008201
1.250,1.1424,1.4798,0.904865,0.5197,1.731,0,0.008201
1.500,1.4887,1.6428,0.875308,0.5197,1.731,0,0.008201
1.750,1.9761,1.8141,0.842331,0.5197,1.731,0,0.008201
2.000,2.6638,1.9925,0.806242,0.5197,1.731,0,0.008201
2.250,3.6371,2.1765,0.767463,0.5197,1.731,0,0.008201
2.500,5.0183,2.3647,0.726507,0.5197,1.731,0,0.008201
2.750,6.9815,2.5558,0.683953,0.5197,1.731,0,0.008201
3.000,9.7722,2.7485,0.640416,0.5197,1.731,0,0.008201
3.250,13.7344,2.9413,0.596524,0.5197,1.731,0,0.008201
3.500,19.3425,3.1328,0.552885,0.5197,1.731,0,0.008201
3.750,27.2423,3.3217,0.510068,0.5197,1.731,0,0.008201
4.000,38.2953,3.5065,0.468583,0.5197,1.731,0,0.008201
4.250,53.6255,3.6858,0.428866,0.5197,1.731,0,0.008201
4.300,57.3246,3.7209,0.421167,0.5197,1.731,0,0.008201
4.311,58.1702,3.7286,0.419485,0.5197,1.731,0,0.008201
,,,,,,,
ZnBr2,γγγ,ØØØ,awa_waw​,,,,
0.001,0.8905,0.9634,0.999988,0.4122,1.926,0,-0.08267
0.002,0.8543,0.9513,0.999897,0.4122,1.926,0,-0.08267
0.003,0.8294,0.9432,0.999887,0.4122,1.926,0,-0.08267
0.004,0.8102,0.9369,0.999797,0.4122,1.926,0,-0.08267
0.005,0.7943,0.9318,0.999748,0.4122,1.926,0,-0.08267
0.006,0.7808,0.9275,0.999699,0.4122,1.926,0,-0.08267
0.007,0.7681,0.9235,0.999650,0.4122,1.926,0,-0.08267
0.008,0.7587,0.9205,0.999602,0.4122,1.926,0,-0.08267
0.009,0.7493,0.9177,0.999554,0.4122,1.926,0,-0.08267
0.010,0.7408,0.9151,0.999506,0.4122,1.926,0,-0.08267
0.020,0.6830,0.8964,0.999029,0.4122,1.926,0,-0.08267
0.030,0.6089,0.8896,0.998559,0.4122,1.926,0,-0.08267
0.040,0.5822,0.8841,0.998091,0.4122,1.926,0,-0.08267
0.050,0.6058,0.8804,0.997624,0.4122,1.926,0,-0.08267
0.060,0.5911,0.8780,0.997157,0.4122,1.926,0,-0.08267
0.070,0.5791,0.8764,0.996690,0.4122,1.926,0,-0.08267
0.080,0.5690,0.8754,0.996222,0.4122,1.926,0,-0.08267
0.090,0.5605,0.8749,0.995753,0.4122,1.926,0,-0.08267
0.100,0.5531,0.8749,0.995283,0.4122,1.926,0,-0.08267
0.200,0.5152,0.8877,0.990450,0.4122,1.926,0,-0.08267
0.300,0.5088,0.9383,0.979920,0.4122,1.926,0,-0.08267
0.400,0.5162,0.9636,0.974296,0.4122,1.926,0,-0.08267
0.500,0.5254,0.9859,0.968535,0.4122,1.926,0,-0.08267
0.600,0.5348,1.0084,0.962713,0.4122,1.926,0,-0.08267
0.700,0.5443,1.0177,0.957002,0.4122,1.926,0,-0.08267
0.800,0.5513,1.0303,0.951120,0.4122,1.926,0,-0.08267
1.000,0.5578,1.0383,0.945430,0.4122,1.926,0,-0.08267
1.250,0.5686,1.0478,0.931662,0.4122,1.926,0,-0.08267
1.500,0.5738,1.0480,0.918546,0.4122,1.926,0,-0.08267
1.750,0.5762,1.0449,0.905897,0.4122,1.926,0,-0.08267
2.000,0.5780,1.0423,0.893449,0.4122,1.926,0,-0.08267
2.250,0.5810,1.0425,0.880939,0.4122,1.926,0,-0.08267
2.500,0.5860,1.0465,0.868149,0.4122,1.926,0,-0.08267
2.750,0.5937,1.0546,0.854920,0.4122,1.926,0,-0.08267
3.000,0.6041,1.0668,0.841157,0.4122,1.926,0,-0.08267
3.250,0.6174,1.0827,0.826813,0.4122,1.926,0,-0.08267
3.500,0.6336,1.1017,0.811881,0.4122,1.926,0,-0.08267
3.750,0.6525,1.1234,0.796378,0.4122,1.926,0,-0.08267
4.000,0.6794,1.1473,0.780361,0.4122,1.926,0,-0.08267
4.250,0.6984,1.1730,0.763811,0.4122,1.926,0,-0.08267
4.500,0.7254,1.2003,0.746833,0.4122,1.926,0,-0.08267
4.750,0.7551,1.2288,0.729450,0.4122,1.926,0,-0.08267
5.000,0.7877,1.2585,0.711704,0.4122,1.926,0,-0.08267
5.250,0.8232,1.2892,0.693634,0.4122,1.926,0,-0.08267
5.500,0.8617,1.3209,0.675278,0.4122,1.926,0,-0.08267
5.750,0.9036,1.3533,0.656672,0.4122,1.926,0,-0.08267
6.000,0.9490,1.3866,0.637855,0.4122,1.926,0,-0.08267
6.250,0.9981,1.4206,0.618868,0.4122,1.926,0,-0.08267
6.500,1.0512,1.4553,0.599754,0.4122,1.926,0,-0.08267
6.750,1.1085,1.4905,0.580562,0.4122,1.926,0,-0.08267
7.000,1.1703,1.5263,0.561342,0.4122,1.926,0,-0.08267
7.250,1.2368,1.5624,0.542150,0.4122,1.926,0,-0.08267
7.500,1.3082,1.5989,0.523043,0.4122,1.926,0,-0.08267
7.750,1.3847,1.6355,0.504079,0.4122,1.926,0,-0.08267
8.000,1.4668,1.6721,0.485319,0.4122,1.926,0,-0.08267
8.250,1.5536,1.7086,0.466819,0.4122,1.926,0,-0.08267
8.500,1.6462,1.7448,0.448636,0.4122,1.926,0,-0.08267
8.750,1.7444,1.7806,0.430822,0.4122,1.926,0,-0.08267
9.000,1.8482,1.8159,0.413426,0.4122,1.926,0,-0.08267
9.250,1.9576,1.8505,0.396488,0.4122,1.926,0,-0.08267
9.500,2.0721,1.8843,0.380038,0.4122,1.926,0,-0.08267
9.750,2.1022,1.9172,0.364217,0.4122,1.926,0,-0.08267
10.000,2.3173,1.9491,0.348743,0.4122,1.926,0,-0.08267
10.250,2.4474,1.9799,0.333933,0.4122,1.926,0,-0.08267
10.500,2.5821,2.0095,0.319699,0.4122,1.926,0,-0.08267
10.750,2.7212,2.0379,0.306046,0.4122,1.926,0,-0.08267
11.00,2.8644,2.0650,0.292974,0.4122,1.926,0,-0.08267
11.25,3.0113,2.0908,0.280479,0.4122,1.926,0,-0.08267
11.50,3.1616,2.1153,0.268554,0.4122,1.926,0,-0.08267
11.75,3.3149,2.1384,0.257186,0.4122,1.926,0,-0.08267
12.00,3.4707,2.1601,0.246364,0.4122,1.926,0,-0.08267
12.25,3.6287,2.1805,0.236070,0.4122,1.926,0,-0.08267
12.50,3.7884,2.1995,0.226288,0.4122,1.926,0,-0.08267
12.75,3.9494,2.2172,0.217001,0.4122,1.926,0,-0.08267
13.00,4.1112,2.2336,0.208189,0.4122,1.926,0,-0.08267
13.25,4.2734,2.2486,0.199833,0.4122,1.926,0,-0.08267
13.50,4.4356,2.2624,0.191915,0.4122,1.926,0,-0.08267
13.75,4.5972,2.2749,0.184416,0.4122,1.926,0,-0.08267
14.00,4.7578,2.2862,0.177316,0.4122,1.926,0,-0.08267
14.25,4.9169,2.2962,0.170599,0.4122,1.926,0,-0.08267
14.50,5.0741,2.3051,0.164244,0.4122,1.926,0,-0.08267
14.75,5.2289,2.3127,0.158235,0.4122,1.926,0,-0.08267
15.00,5.3811,2.3193,0.152553,0.4122,1.926,0,-0.08267
15.25,5.5302,2.3248,0.147180,0.4122,1.926,0,-0.08267
15.50,5.6760,2.3292,0.142099,0.4122,1.926,0,-0.08267
15.75,5.8184,2.3327,0.137290,0.4122,1.926,0,-0.08267
16.00,5.9572,2.3353,0.132735,0.4122,1.926,0,-0.08267
16.25,6.0925,2.3370,0.128415,0.4122,1.926,0,-0.08267
16.50,6.2245,2.3380,0.124312,0.4122,1.926,0,-0.08267
16.75,6.3534,2.3384,0.120404,0.4122,1.926,0,-0.08267
17.00,6.4798,2.3383,0.116674,0.4122,1.926,0,-0.08267
17.25,6.6041,2.3377,0.113102,0.4122,1.926,0,-0.08267
17.50,6.7270,2.3369,0.109668,0.4122,1.926,0,-0.08267
17.75,6.8493,2.3360,0.106356,0.4122,1.926,0,-0.08267
18.00,6.9717,2.3350,0.103148,0.4122,1.926,0,-0.08267
18.25,7.0949,2.3341,0.100033,0.4122,1.926,0,-0.08267
18.50,7.2194,2.3334,0.096999,0.4122,1.926,0,-0.08267
18.75,7.3456,2.3328,0.094043,0.4122,1.926,0,-0.08267
19.00,7.4732,2.3324,0.091165,0.4122,1.926,0,-0.08267
19.25,7.6014,2.3320,0.088375,0.4122,1.926,0,-0.08267
19.50,7.7283,2.3314,0.085690,0.4122,1.926,0,-0.08267
19.75,7.8510,2.3302,0.083139,0.4122,1.926,0,-0.08267
20.00,7.9647,2.3278,0.080767,0.4122,1.926,0,-0.08267
20.10,8.0062,2.3264,0.079880,0.4122,1.926,0,-0.08267
,,,,,,,
ZnI2,Y,Unnamed: 2,a_w,,,,
0.001,0.8931,0.9648,0.999948,0.526,2.317,0,-0.08623
0.002,0.8592,0.9541,0.999897,0.526,2.317,0,-0.08623
0.003,0.8362,0.9470,0.999846,0.526,2.317,0,-0.08623
0.004,0.8187,0.9418,0.999796,0.526,2.317,0,-0.08623
0.005,0.8044,0.9376,0.999747,0.526,2.317,0,-0.08623
0.006,0.7924,0.9343,0.999697,0.526,2.317,0,-0.08623
0.007,0.7820,0.9314,0.999648,0.526,2.317,0,-0.08623
0.008,0.7728,0.9290,0.999598,0.526,2.317,0,-0.08623
0.009,0.7647,0.9268,0.999549,0.526,2.317,0,-0.08623
0.010,0.7573,0.9250,0.999500,0.526,2.317,0,-0.08623
0.020,0.7082,0.9139,0.999013,0.526,2.317,0,-0.08623
0.030,0.6796,0.9087,0.998528,0.526,2.317,0,-0.08623
0.040,0.6596,0.9056,0.998044,0.526,2.317,0,-0.08623
0.050,0.6445,0.9037,0.997561,0.526,2.317,0,-0.08623
0.060,0.6325,0.9025,0.997078,0.526,2.317,0,-0.08623
0.070,0.6225,0.9018,0.996594,0.526,2.317,0,-0.08623
0.080,0.6142,0.9015,0.996110,0.526,2.317,0,-0.08623
0.090,0.6072,0.9015,0.995624,0.526,2.317,0,-0.08623
0.100,0.6011,0.9019,0.995137,0.526,2.317,0,-0.08623
0.200,0.5741,0.9198,0.990107,0.526,2.317,0,-0.08623
0.300,0.5798,0.9558,0.984622,0.526,2.317,0,-0.08623
0.400,0.6025,1.0008,0.978596,0.526,2.317,0,-0.08623
0.500,0.6351,1.0482,0.972071,0.526,2.317,0,-0.08623
0.600,0.6734,1.0939,0.965148,0.526,2.317,0,-0.08623
0.700,0.7145,1.1355,0.957950,0.526,2.317,0,-0.08623
0.800,0.7563,1.1718,0.950597,0.526,2.317,0,-0.08623
0.900,0.7971,1.2023,0.943195,0.526,2.317,0,-0.08623
1.000,0.8358,1.2272,0.935829,0.526,2.317,0,-0.08623
1.250,0.9197,1.2672,0.917950,0.526,2.317,0,-0.08623
1.500,0.9830,1.2834,0.901189,0.526,2.317,0,-0.08623
1.750,1.0287,1.2848,0.885572,0.526,2.317,0,-0.08623
2.000,1.0623,1.2793,0.870855,0.526,2.317,0,-0.08623
2.250,1.0893,1.2720,0.856694,0.526,2.317,0,-0.08623
2.500,1.1142,1.2662,0.842751,0.526,2.317,0,-0.08623
2.750,1.1399,1.2638,0.828754,0.526,2.317,0,-0.08623
3.000,1.1683,1.2654,0.814511,0.526,2.317,0,-0.08623
3.250,1.2004,1.2710,0.799912,0.526,2.317,0,-0.08623
3.500,1.2366,1.2803,0.784909,0.526,2.317,0,-0.08623
3.750,1.2771,1.2928,0.769498,0.526,2.317,0,-0.08623
4.000,1.3219,1.3080,0.753701,0.526,2.317,0,-0.08623
4.250,1.3711,1.3253,0.737551,0.526,2.317,0,-0.08623
4.500,1.4248,1.3446,0.721078,0.526,2.317,0,-0.08623
4.750,1.4831,1.3655,0.704301,0.526,2.317,0,-0.08623
5.000,1.5464,1.3880,0.687233,0.526,2.317,0,-0.08623
5.250,1.6153,1.4121,0.669874,0.526,2.317,0,-0.08623
5.500,1.6903,1.4377,0.652222,0.526,2.317,0,-0.08623
5.750,1.7723,1.4650,0.634274,0.526,2.317,0,-0.08623
6.000,1.8619,1.4939,0.616034,0.526,2.317,0,-0.08623
6.250,1.9600,1.5245,0.597517,0.526,2.317,0,-0.08623
6.500,2.0675,1.5567,0.578755,0.526,2.317,0,-0.08623
6.750,2.1850,1.5904,0.559795,0.526,2.317,0,-0.08623
7.000,2.3132,1.6253,0.540702,0.526,2.317,0,-0.08623
7.250,2.4526,1.6612,0.521559,0.526,2.317,0,-0.08623
7.500,2.6035,1.6979,0.502458,0.526,2.317,0,-0.08623
7.750,2.7661,1.7350,0.483498,0.526,2.317,0,-0.08623
8.000,2.9401,1.7721,0.464781,0.526,2.317,0,-0.08623
8.250,3.1254,1.8089,0.446402,0.526,2.317,0,-0.08623
8.500,3.3214,1.8450,0.428447,0.526,2.317,0,-0.08623
8.750,3.5278,1.8803,0.410985,0.526,2.317,0,-0.08623
9.000,3.7439,1.9145,0.394071,0.526,2.317,0,-0.08623
9.250,3.9692,1.9474,0.377736,0.526,2.317,0,-0.08623
9.500,4.2035,1.9791,0.361996,0.526,2.317,0,-0.08623
9.750,4.4464,2.0094,0.346849,0.526,2.317,0,-0.08623
10.000,4.6982,2.0386,0.332283,0.526,2.317,0,-0.08623
10.250,4.9588,2.0666,0.318281,0.526,2.317,0,-0.08623
10.500,5.2283,2.0935,0.304829,0.526,2.317,0,-0.08623
10.750,5.5060,2.1192,0.291931,0.526,2.317,0,-0.08623
,,,,,,,
ZnNO32,Y,Unnamed: 2,a_w,,,,
0.001,0.8893,0.9627,0.999948,0.3248,1.864,0,-0.00827
0.002,0.8522,0.9501,0.999897,0.3248,1.864,0,-0.00827
0.003,0.8264,0.9414,0.999847,0.3248,1.864,0,-0.00827
0.004,0.8064,0.9346,0.999798,0.3248,1.864,0,-0.00827
0.005,0.7898,0.9291,0.999749,0.3248,1.864,0,-0.00827
0.006,0.7757,0.9244,0.999700,0.3248,1.864,0,-0.00827
0.007,0.7633,0.9203,0.999652,0.3248,1.864,0,-0.00827
0.008,0.7523,0.9167,0.999604,0.3248,1.864,0,-0.00827
0.009,0.7424,0.9134,0.999556,0.3248,1.864,0,-0.00827
0.010,0.7334,0.9105,0.999508,0.3248,1.864,0,-0.00827
0.020,0.6718,0.8914,0.999037,0.3248,1.864,0,-0.00827
0.030,0.6349,0.8811,0.998572,0.3248,1.864,0,-0.00827
0.040,0.6090,0.8746,0.998111,0.3248,1.864,0,-0.00827
0.050,0.5894,0.8704,0.997651,0.3248,1.864,0,-0.00827
0.060,0.5739,0.8677,0.997190,0.3248,1.864,0,-0.00827
0.070,0.5612,0.8659,0.996730,0.3248,1.864,0,-0.00827
0.080,0.5506,0.8648,0.996268,0.3248,1.864,0,-0.00827
0.090,0.5416,0.8642,0.995805,0.3248,1.864,0,-0.00827
0.100,0.5338,0.8640,0.995341,0.3248,1.864,0,-0.00827
0.200,0.4916,0.8738,0.990600,0.3248,1.864,0,-0.00827
0.300,0.4771,0.8917,0.985646,0.3248,1.864,0,-0.00827
0.400,0.4736,0.9127,0.980463,0.3248,1.864,0,-0.00827
0.500,0.4762,0.9353,0.975041,0.3248,1.864,0,-0.00827
0.600,0.4830,0.9591,0.969376,0.3248,1.864,0,-0.00827
0.700,0.4929,0.9839,0.963461,0.3248,1.864,0,-0.00827
0.800,0.5054,1.0095,0.957293,0.3248,1.864,0,-0.00827
0.900,0.5202,1.0357,0.950870,0.3248,1.864,0,-0.00827
1.000,0.5372,1.0626,0.944189,0.3248,1.864,0,-0.00827
1.250,0.5883,1.1322,0.926364,0.3248,1.864,0,-0.00827
1.500,0.6521,1.2047,0.906957,0.3248,1.864,0,-0.00827
1.750,0.7292,1.2793,0.886035,0.3248,1.864,0,-0.00827
2.000,0.8210,1.3556,0.863702,0.3248,1.864,0,-0.00827
2.250,0.9291,1.4329,0.840092,0.3248,1.864,0,-0.00827
2.500,1.0554,1.5107,0.815362,0.3248,1.864,0,-0.00827
2.750,1.2022,1.5887,0.789688,0.3248,1.864,0,-0.00827
3.000,1.3721,1.6663,0.763255,0.3248,1.864,0,-0.00827
3.250,1.5677,1.7431,0.736251,0.3248,1.864,0,-0.00827
3.500,1.7920,1.8190,0.708864,0.3248,1.864,0,-0.00827
3.750,2.0483,1.8936,0.681273,0.3248,1.864,0,-0.00827
4.000,2.3400,1.9668,0.653647,0.3248,1.864,0,-0.00827
4.250,2.6709,2.0383,0.626139,0.3248,1.864,0,-0.00827
4.500,3.0449,2.1080,0.598886,0.3248,1.864,0,-0.00827
4.750,3.4665,2.1760,0.572004,0.3248,1.864,0,-0.00827
5.000,3.9405,2.2421,0.545591,0.3248,1.864,0,-0.00827
5.250,4.4722,2.3065,0.519724,0.3248,1.864,0,-0.00827
5.500,5.0678,2.3693,0.494463,0.3248,1.864,0,-0.00827
5.750,5.7342,2.4306,0.469845,0.3248,1.864,0,-0.00827
6.000,6.4797,2.4907,0.445895,0.3248,1.864,0,-0.00827
6.250,7.3142,2.5498,0.422618,0.3248,1.864,0,-0.00827
6.500,8.2498,2.6082,0.400008,0.3248,1.864,0,-0.00827
6.750 (sat),9.3013,2.6664,0.378047,0.3248,1.864,0,-0.00827
7.000,10.4873,2.7248,0.356708,0.3248,1.864,0,-0.00827
7.103,11.0203,2.7490,0.348089,0.3248,1.864,0,-0.00827
,,,,,,,
Znptoluenesulfonate,Gamma,Osmotic,a_w,,,,
0.001,0.8884,0.9622,0.999948,,,,
0.002,0.8505,0.9492,0.999897,,,,
0.003,0.8241,0.9400,0.999848,,,,
0.004,0.8034,0.9328,0.999798,,,,
0.005,0.7862,0.9269,0.999750,,,,
0.006,0.7715,0.9218,0.999701,,,,
0.007,0.7586,0.9173,0.999653,,,,
0.008,0.7470,0.9133,0.999605,,,,
0.009,0.7366,0.9097,0.999558,,,,
0.010,0.7271,0.9064,0.999510,,,,
0.020,0.6610,0.8837,0.999045,,,,
0.030,0.6203,0.8701,0.998590,,,,
0.040,0.5911,0.8605,0.998141,,,,
0.050,0.5683,0.8532,0.997697,,,,
0.060,0.5498,0.8474,0.997256,,,,
0.070,0.5343,0.8426,0.996817,,,,
0.080,0.5209,0.8385,0.996381,,,,
0.090,0.5092,0.8350,0.995947,,,,
0.100,0.4988,0.8319,0.995514,,,,
0.200,0.4325,0.8126,0.991255,,,,
0.300,0.3953,0.8011,0.987096,,,,
,,,,,,,
CdClO4,Y,Unnamed: 2,a_w,,,,
0.001,0.8904,0.9633,0.999948,0.3796,2.113,0,0.02515
0.002,0.8541,0.9512,0.999897,0.3796,2.113,0,0.02515
0.003,0.8291,0.9430,0.999847,0.3796,2.113,0,0.02515
0.004,0.8098,0.9366,0.999798,0.3796,2.113,0,0.02515
0.005,0.7938,0.9315,0.999748,0.3796,2.113,0,0.02515
0.006,0.7803,0.9271,0.999699,0.3796,2.113,0,0.02515
0.007,0.7685,0.9234,0.999651,0.3796,2.113,0,0.02515
0.008,0.7580,0.9201,0.999602,0.3796,2.113,0,0.02515
0.009,0.7486,0.9172,0.999554,0.3796,2.113,0,0.02515
0.010,0.7400,0.9146,0.999506,0.3796,2.113,0,0.02515
0.020,0.6822,0.8982,0.999030,0.3796,2.113,0,0.02515
0.030,0.6481,0.8900,0.998558,0.3796,2.113,0,0.02515
0.040,0.6246,0.8854,0.998088,0.3796,2.113,0,0.02515
0.050,0.6072,0.8829,0.997617,0.3796,2.113,0,0.02515
0.060,0.5935,0.8816,0.997145,0.3796,2.113,0,0.02515
0.070,0.5825,0.8813,0.996672,0.3796,2.113,0,0.02515
0.080,0.5735,0.8815,0.996196,0.3796,2.113,0,0.02515
0.090,0.5660,0.8822,0.995718,0.3796,2.113,0,0.02515
0.100,0.5597,0.8833,0.995237,0.3796,2.113,0,0.02515
0.200,0.5300,0.9042,0.990274,0.3796,2.113,0,0.02515
0.300,0.5273,0.9327,0.984991,0.3796,2.113,0,0.02515
0.400,0.5364,0.9647,0.979361,0.3796,2.113,0,0.02515
0.500,0.5528,0.9992,0.973360,0.3796,2.113,0,0.02515
0.600,0.5752,1.0358,0.966968,0.3796,2.113,0,0.02515
0.700,0.6030,1.0745,0.960163,0.3796,2.113,0,0.02515
0.800,0.6360,1.1153,0.952923,0.3796,2.113,0,0.02515
0.900,0.6745,1.1580,0.945230,0.3796,2.113,0,0.02515
1.000,0.7188,1.2027,0.937065,0.3796,2.113,0,0.02515
1.250,0.8593,1.3233,0.914482,0.3796,2.113,0,0.02515
1.500,1.0535,1.4564,0.888631,0.3796,2.113,0,0.02515
1.750,1.3220,1.6023,0.859374,0.3796,2.113,0,0.02515
1.928,1.5753,1.7140,0.836438,0.3796,2.113,0,0.02515
,,,,,,,
CdNO22,Y,Unnamed: 2,a_w,,,,
0.001,0.8813,0.9583,0.999948,-0.02389,-1.511,0,0.007885
0.002,0.8375,0.9417,0.999898,-0.02389,-1.511,0,0.007885
0.003,0.8058,0.9293,0.999849,-0.02389,-1.511,0,0.007885
0.004,0.7804,0.9189,0.999801,-0.02389,-1.511,0,0.007885
0.005,0.7588,0.9100,0.999754,-0.02389,-1.511,0,0.007885
0.006,0.7400,0.9020,0.999708,-0.02389,-1.511,0,0.007885
0.007,0.7232,0.8948,0.999662,-0.02389,-1.511,0,0.007885
0.008,0.7081,0.8881,0.999616,-0.02389,-1.511,0,0.007885
0.009,0.6943,0.8819,0.999571,-0.02389,-1.511,0,0.007885
0.010,0.6815,0.8761,0.999527,-0.02389,-1.511,0,0.007885
0.020,0.5892,0.8313,0.999102,-0.02389,-1.511,0,0.007885
0.030,0.6296,0.7003,0.998705,-0.02389,-1.511,0,0.007885
0.040,0.4856,0.7739,0.998328,-0.02389,-1.511,0,0.007885
0.050,0.4509,0.7527,0.997968,-0.02389,-1.511,0,0.007885
0.060,0.4225,0.7344,0.997621,-0.02389,-1.511,0,0.007885
0.070,0.3986,0.7182,0.997287,-0.02389,-1.511,0,0.007885
0.080,0.3780,0.7038,0.996962,-0.02389,-1.511,0,0.007885
0.090,0.3600,0.6907,0.996646,-0.02389,-1.511,0,0.007885
0.100,0.3442,0.6789,0.996338,-0.02389,-1.511,0,0.007885
0.200,0.2469,0.5974,0.993563,-0.02389,-1.511,0,0.007885
0.300,0.1982,0.5506,0.991113,-0.02389,-1.511,0,0.007885
0.400,0.1682,0.5199,0.988823,-0.02389,-1.511,0,0.007885
0.500,0.1476,0.4989,0.986610,-0.02389,-1.511,0,0.007885
0.600,0.1325,0.4840,0.984427,-0.02389,-1.511,0,0.007885
0.700,0.1210,0.4735,0.982244,-0.02389,-1.511,0,0.007885
0.800,0.1119,0.4662,0.980043,-0.02389,-1.511,0,0.007885
0.900,0.1046,0.4614,0.977809,-0.02389,-1.511,0,0.007885
1.000,0.0985,0.4583,0.975533,-0.02389,-1.511,0,0.007885
1.250,0.0871,0.4566,0.969623,-0.02389,-1.511,0,0.007885
1.500,0.0792,0.4605,0.963357,-0.02389,-1.511,0,0.007885
1.750,0.0735,0.4679,0.956710,-0.02389,-1.511,0,0.007885
2.000,0.0691,0.4777,0.949678,-0.02389,-1.511,0,0.007885
2.250,0.0658,0.4890,0.942264,-0.02389,-1.511,0,0.007885
2.500,0.0632,0.5016,0.934478,-0.02389,-1.511,0,0.007885
2.750,0.0611,0.5149,0.926330,-0.02389,-1.511,0,0.007885
3.000,0.0594,0.5288,0.917835,-0.02389,-1.511,0,0.007885
3.250,0.0581,0.5431,0.909008,-0.02389,-1.511,0,0.007885
3.500,0.0570,0.5578,0.899865,-0.02389,-1.511,0,0.007885
3.750,0.0561,0.5726,0.890424,-0.02389,-1.511,0,0.007885
4.000,0.0555,0.5876,0.880703,-0.02389,-1.511,0,0.007885
4.250,0.0549,0.6027,0.870724,-0.02389,-1.511,0,0.007885
4.500,0.0546,0.6177,0.860506,-0.02389,-1.511,0,0.007885
4.750,0.0543,0.6327,0.850073,-0.02389,-1.511,0,0.007885
5.000,0.0541,0.6476,0.839449,-0.02389,-1.511,0,0.007885
5.250,0.0540,0.6624,0.828658,-0.02389,-1.511,0,0.007885
5.500,0.0539,0.6770,0.817726,-0.02389,-1.511,0,0.007885
5.750,0.0539,0.6913,0.806681,-0.02389,-1.511,0,0.007885
6.000,0.0540,0.7053,0.795551,-0.02389,-1.511,0,0.007885
6.250,0.0541,0.7190,0.784366,-0.02389,-1.511,0,0.007885
6.500,0.0542,0.7324,0.773154,-0.02389,-1.511,0,0.007885
6.750,0.0544,0.7453,0.761949,-0.02389,-1.511,0,0.007885
7.000,0.0546,0.7577,0.750780,-0.02389,-1.511,0,0.007885
7.250,0.0548,0.7696,0.739679,-0.02389,-1.511,0,0.007885
7.500,0.0550,0.7809,0.726681,-0.02389,-1.511,0,0.007885
7.750,0.0552,0.7915,0.717817,-0.02389,-1.511,0,0.007885
7.840,0.0553,0.7952,0.713945,-0.02389,-1.511,0,0.007885
,,,,,,,
CdNO32,,,,,,,
0.001,0.8884,0.9622,0.999948,0.2833,1.665,0,-0.02426
0.002,0.8506,0.9493,0.999897,0.2833,1.665,0,-0.02426
0.003,0.8243,0.9402,0.999848,0.2833,1.665,0,-0.02426
0.004,0.8037,0.9331,0.999798,0.2833,1.665,0,-0.02426
0.005,0.7866,0.9272,0.999749,0.2833,1.665,0,-0.02426
0.006,0.7720,0.9222,0.999701,0.2833,1.665,0,-0.02426
0.007,0.7593,0.9178,0.999653,0.2833,1.665,0,-0.02426
0.008,0.7479,0.9140,0.999605,0.2833,1.665,0,-0.02426
0.009,0.7376,0.9105,0.999557,0.2833,1.665,0,-0.02426
0.010,0.7283,0.9073,0.999510,0.2833,1.665,0,-0.02426
0.020,0.6637,0.8861,0.999043,0.2833,1.665,0,-0.02426
0.030,0.6247,0.8741,0.998584,0.2833,1.665,0,-0.02426
0.040,0.5971,0.8663,0.998129,0.2833,1.665,0,-0.02426
0.050,0.5761,0.8609,0.997676,0.2833,1.665,0,-0.02426
0.060,0.5592,0.8570,0.997225,0.2833,1.665,0,-0.02426
0.070,0.5454,0.8542,0.996774,0.2833,1.665,0,-0.02426
0.080,0.5337,0.8521,0.996323,0.2833,1.665,0,-0.02426
0.090,0.5237,0.8506,0.995871,0.2833,1.665,0,-0.02426
0.100,0.5149,0.8496,0.995419,0.2833,1.665,0,-0.02426
0.200,0.4649,0.8518,0.990834,0.2833,1.665,0,-0.02426
0.300,0.4434,0.8626,0.986111,0.2833,1.665,0,-0.02426
0.400,0.4327,0.8760,0.981241,0.2833,1.665,0,-0.02426
0.500,0.4276,0.8903,0.976228,0.2833,1.665,0,-0.02426
0.600,0.4260,0.9051,0.971076,0.2833,1.665,0,-0.02426
0.700,0.4266,0.9201,0.965789,0.2833,1.665,0,-0.02426
0.800,0.4289,0.9351,0.960374,0.2833,1.665,0,-0.02426
0.900,0.4324,0.9502,0.954834,0.2833,1.665,0,-0.02426
1.000,0.4370,0.9652,0.949174,0.2833,1.665,0,-0.02426
1.250,0.4519,1.0024,0.934522,0.2833,1.665,0,-0.02426
1.500,0.4706,1.0392,0.919201,0.2833,1.665,0,-0.02426
1.750,0.4923,1.0757,0.903265,0.2833,1.665,0,-0.02426
2.000,0.5168,1.1118,0.886765,0.2833,1.665,0,-0.02426
2.250,0.5439,1.1476,0.869749,0.2833,1.665,0,-0.02426
2.500,0.5735,1.1831,0.852264,0.2833,1.665,0,-0.02426
2.638,0.5909,1.2026,0.842429,0.2833,1.665,0,-0.02426
