m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
2.500,0.2780,0.9196,0.883154,0.1408,1.184,0,-0.0051
2.750,0.2848,0.9499,0.868332,0.1408,1.184,0,-0.0051
3.000,0.2935,0.9830,0.852672,0.1408,1.184,0,-0.0051
3.140,0.2993,1.0027,0.843520,0.1408,1.184,0,-0.0051
3.165,0.3003,1.0064,0.841857,0.1408,1.184,0,-0.0051
,,,,,,,
Lithium Dibenzene Sulfonate,,,,,,,
m (mol/kg),gamma,Osmotic,a_water,,,,
0.001,0.8896,0.9629,0.999948,,,,
0.002,0.8528,0.9505,0.999897,,,,
0.003,0.8274,0.9420,0.999847,,,,
0.004,0.8076,0.9354,0.999798,,,,
0.005,0.7913,0.9300,0.999749,,,,
0.006,0.7774,0.9254,0.999700,,,,
0.007,0.7652,0.9215,0.999651,,,,
0.008,0.7545,0.9181,0.999603,,,,
0.009,0.7448,0.9150,0.999555,,,,
0.010,0.7360,0.9122,0.999507,,,,
0.020,0.6763,0.8946,0.999033,,,,
0.030,0.6410,0.8857,0.998565,,,,
0.040,0.6167,0.8806,0.998098,,,,
0.050,0.5985,0.8777,0.997631,,,,
0.060,0.5843,0.8762,0.997163,,,,
0.070,0.5729,0.8756,0.996693,,,,
0.080,0.5635,0.8757,0.996221,,,,
0.090,0.5557,0.8763,0.995747,,,,
0.100,0.5491,0.8773,0.995270,,,,
0.200,0.5175,0.8976,0.990344,,,,
0.300,0.5126,0.9246,0.985121,,,,
0.400,0.5182,0.9532,0.979604,,,,
0.500,0.5295,0.9822,0.973806,,,,
0.600,0.5448,1.0113,0.967738,,,,
0.700,0.5630,1.0402,0.961411,,,,
0.800,0.5835,1.0689,0.954838,,,,
0.900,0.6062,1.0972,0.948028,,,,
1.000,0.6308,1.1253,0.940993,,,,
1.250,0.7002,1.1943,0.922485,,,,
1.500,0.7805,1.2615,0.902789,,,,
1.750,0.8719,1.3269,0.882053,,,,
2.000,0.9749,1.3908,0.860423,,,,
2.250,1.0903,1.4530,0.838038,,,,
2.500,1.2191,1.5137,0.815032,,,,
,,,,,,,
"Lithium 4,4'-Bibenzyl Disulfonate",,,,,,,
m (mol/kg),gamma,Osmotic,a_water,,,,
0.001,0.8851,0.9604,0.999948,,,,
0.002,0.8447,0.9459,0.999898,,,,
0.003,0.8162,0.9356,0.999848,,,,
0.004,0.7936,0.9273,0.999800,,,,
0.005,0.7748,0.9203,0.999751,,,,
0.006,0.7587,0.9143,0.999704,,,,
0.007,0.7445,0.9090,0.999656,,,,
0.008,0.7318,0.9042,0.999609,,,,
0.009,0.7203,0.8999,0.999562,,,,
0.010,0.7098,0.8960,0.999516,,,,
0.020,0.6370,0.8691,0.999061,,,,
0.030,0.5928,0.8536,0.998617,,,,
0.040,0.5618,0.8434,0.998178,,,,
0.050,0.5382,0.8363,0.997743,,,,
0.060,0.5194,0.8311,0.997309,,,,
0.070,0.5040,0.8272,0.996875,,,,
0.080,0.4909,0.8242,0.996443,,,,
0.090,0.4796,0.8219,0.996010,,,,
0.100,0.4698,0.8200,0.995578,,,,
0.200,0.4083,0.8085,0.991299,,,,
0.300,0.3729,0.7975,0.987153,,,,
0.400,0.3480,0.7880,0.983108,,,,
0.500,0.3306,0.7843,0.979028,,,,
0.600,0.3190,0.7880,0.974771,,,,
0.700,0.3122,0.7982,0.970254,,,,
0.800,0.3085,0.8125,0.965480,,,,
0.900,0.3068,0.8280,0.960624,,,,
1.000,0.3060,0.8429,0.955465,,,,
1.200,0.3086,0.8772,0.944696,,,,
,,,,,,,
Sodium Sulfite,,,,,,,
m (mol/kg),gamma,Osmotic,a_water,,,,
0.001,0.8866,0.9612,0.999948,,,,
0.002,0.8472,0.9473,0.999898,,,,
0.003,0.8195,0.9374,0.999848,,,,
0.004,0.7976,0.9295,0.999799,,,,
0.005,0.7794,0.9228,0.999751,,,,
0.006,0.7637,0.9170,0.999703,,,,
0.007,0.7498,0.9119,0.999655,,,,
0.008,0.7374,0.9073,0.999608,,,,
0.009,0.7262,0.9032,0.999561,,,,
0.010,0.7160,0.8993,0.999514,,,,
0.020,0.6437,0.8720,0.999058,,,,
0.030,0.5986,0.8548,0.998615,,,,
0.040,0.5659,0.8421,0.998181,,,,
0.050,0.5403,0.8322,0.997754,,,,
0.060,0.5195,0.8241,0.997331,,,,
0.070,0.5019,0.8173,0.996913,,,,
0.080,0.4867,0.8114,0.996498,,,,
0.090,0.4734,0.8062,0.996086,,,,
0.100,0.4616,0.8016,0.995677,,,,
0.200,0.3865,0.7719,0.991692,,,,
0.300,0.3451,0.7547,0.987839,,,,
0.400,0.3171,0.7423,0.984080,,,,
0.500,0.2962,0.7326,0.980397,,,,
0.600,0.2796,0.7247,0.976772,,,,
0.700,0.2662,0.7182,0.973193,,,,
0.800,0.2549,0.7129,0.969647,,,,
0.900,0.2453,0.7086,0.966121,,,,
1.000,0.2370,0.7052,0.962603,,,,
1.250,0.2208,0.7008,0.953756,,,,
1.500,0.2093,0.7019,0.944685,,,,
1.750,0.2013,0.7084,0.935198,,,,
2.000,0.1960,0.7201,0.925114,,,,
2.058,0.1952,0.7236,0.922670,,,,
,,,,,,,
Sodium Sulfate (Na2SO4),,,,,,,
m (mol/kg),gamma,Osmotic,a_water,0.01959,1.049,0,0.005416
0.001,0.8859,0.9608,0.999948,0.01959,1.049,0,0.005416
0.002,0.8460,0.9466,0.999898,0.01959,1.049,0,0.005416
0.003,0.8178,0.9364,0.999848,0.01959,1.049,0,0.005416
0.004,0.7955,0.9282,0.999799,0.01959,1.049,0,0.005416
0.005,0.7768,0.9212,0.999751,0.01959,1.049,0,0.005416
0.006,0.7607,0.9152,0.999703,0.01959,1.049,0,0.005416
0.007,0.7465,0.9099,0.999656,0.01959,1.049,0,0.005416
0.008,0.7328,0.9050,0.999609,0.01959,1.049,0,0.005416
0.009,0.7223,0.9006,0.999562,0.01959,1.049,0,0.005416
0.010,0.7117,0.8965,0.999516,0.01959,1.049,0,0.005416
0.020,0.6369,0.8672,0.999063,0.01959,1.049,0,0.005416
0.030,0.5900,0.8482,0.998626,0.01959,1.049,0,0.005416
0.040,0.5557,0.8341,0.998198,0.01959,1.049,0,0.005416
0.050,0.5289,0.8229,0.997779,0.01959,1.049,0,0.005416
0.060,0.5069,0.8136,0.997365,0.01959,1.049,0,0.005416
0.070,0.4883,0.8056,0.996957,0.01959,1.049,0,0.005416
0.080,0.4723,0.7986,0.996553,0.01959,1.049,0,0.005416
0.090,0.4582,0.7924,0.996156,0.01959,1.049,0,0.005416
0.100,0.4457,0.7869,0.995756,0.01959,1.049,0,0.005416
0.200,0.3656,0.7494,0.991932,0.01959,1.049,0,0.005416
0.300,0.3212,0.7262,0.988294,0.01959,1.049,0,0.005416
0.400,0.2910,0.7088,0.984794,0.01959,1.049,0,0.005416
0.500,0.2684,0.6945,0.981407,0.01959,1.049,0,0.005416
0.600,0.2506,0.6824,0.978113,0.01959,1.049,0,0.005416
0.700,0.2359,0.6720,0.974897,0.01959,1.049,0,0.005416
0.800,0.2236,0.6629,0.971745,0.01959,1.049,0,0.005416
0.900,0.2131,0.6550,0.968643,0.01959,1.049,0,0.005416
1.000,0.2040,0.6481,0.965579,0.01959,1.049,0,0.005416
1.250,0.1859,0.6351,0.958004,0.01959,1.049,0,0.005416
1.500,0.1725,0.6273,0.950465,0.01959,1.049,0,0.005416
1.750,0.1623,0.6243,0.942659,0.01959,1.049,0,0.005416
1.957,0.1558,0.6252,0.936013,0.01959,1.049,0,0.005416
2.000,0.1546,0.6257,0.934600,0.01959,1.049,0,0.005416
2.250,0.1488,0.6311,0.926127,0.01959,1.049,0,0.005416
2.500,0.1444,0.6401,0.917144,0.01959,1.049,0,0.005416
2.750,0.1414,0.6525,0.907581,0.01959,1.049,0,0.005416
3.000,0.1394,0.6666,0.897385,0.01959,1.049,0,0.005416
3.250,0.1382,0.6857,0.886523,0.01959,1.049,0,0.005416
3.500,0.1380,0.7060,0.874984,0.01959,1.049,0,0.005416
3.750,0.1383,0.7283,0.862774,0.01959,1.049,0,0.005416
4.000,0.1393,0.7522,0.849919,0.01959,1.049,0,0.005416
4.250,0.1409,0.7774,0.836460,0.01959,1.049,0,0.005416
4.445,0.1424,0.7978,0.825580,0.01959,1.049,0,0.005416
,,,,,,,
Sodium Thiosulfate,,,,,,,
m (mol/kg),gamma,Osmotic,a_water,0.06306,1.254,0,0.004673
0.001,0.8867,0.9613,0.999948,0.06306,1.254,0,0.004673
0.002,0.8475,0.9475,0.999898,0.06306,1.254,0,0.004673
0.003,0.8199,0.9376,0.999848,0.06306,1.254,0,0.004673
0.004,0.7981,0.9297,0.999799,0.06306,1.254,0,0.004673
0.005,0.7800,0.9231,0.999751,0.06306,1.254,0,0.004673
0.006,0.7643,0.9174,0.999703,0.06306,1.254,0,0.004673
0.007,0.7506,0.9124,0.999655,0.06306,1.254,0,0.004673
0.008,0.7382,0.9078,0.999608,0.06306,1.254,0,0.004673
0.009,0.7271,0.9037,0.999561,0.06306,1.254,0,0.004673
0.010,0.7169,0.8999,0.999514,0.06306,1.254,0,0.004673
0.020,0.6450,0.8729,0.999057,0.06306,1.254,0,0.004673
0.030,0.6001,0.8557,0.998614,0.06306,1.254,0,0.004673
0.040,0.5675,0.8432,0.998179,0.06306,1.254,0,0.004673
0.050,0.5420,0.8333,0.997751,0.06306,1.254,0,0.004673
0.060,0.5212,0.8252,0.997328,0.06306,1.254,0,0.004673
0.070,0.5036,0.8183,0.996909,0.06306,1.254,0,0.004673
0.080,0.4884,0.8124,0.996494,0.06306,1.254,0,0.004673
0.090,0.4751,0.8072,0.996082,0.06306,1.254,0,0.004673
0.100,0.4633,0.8025,0.995672,0.06306,1.254,0,0.004673
0.200,0.3877,0.7719,0.991691,0.06306,1.254,0,0.004673
0.300,0.3459,0.7540,0.987849,0.06306,1.254,0,0.004673
0.400,0.3177,0.7415,0.984099,0.06306,1.254,0,0.004673
